record_id,redcap_survey_identifier,kwtrp_survey_timestamp,designation,other,education_level,proficiency_level,mooc_use,mooc_experience,learning_preference,prefer_online_learning___1,prefer_online_learning___2,prefer_online_learning___3,prefer_online_learning___4,prefer_online_learning___5,prefer_online_learning___6,prefer_face_to_face___1,prefer_face_to_face___2,prefer_face_to_face___3,prefer_face_to_face___4,software___1,software___2,software___3,software___4,software___5,software___6,other_software,primary_software,other_primary_software,topics___1,topics___2,topics___3,topics___4,topics___5,topics___6,topics___7,topics___8,topics___9,topics___10,other_topics,idea,kwtrp_survey_complete
"31","","2014-04-29 08:59:56",3,"",4,3,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,"",1,"",1,1,1,1,1,1,0,1,0,0,"",1,2
"32","","2014-04-29 09:23:00",2,"",2,3,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,"",1,"",1,1,1,1,0,1,1,1,0,1,"basic analysis of qualitative data especially when present to support quantitative data",1,2
"33","","2014-04-29 09:58:40",2,"",2,3,2,,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"PRISM",,"",0,0,0,0,0,1,0,0,0,0,"",1,2
"34","","2014-04-29 10:03:02",8,"COO",3,3,1,2,2,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,"",4,"",1,1,1,1,1,1,1,1,1,1,"Comment - Surely all postgraduate scientists at the Programme should be introduced to these, even if they do not use them. Not clear what introductory courses would cover (how to do or what these are?)",2,2
"35","","2014-04-29 11:01:49",1,"",1,2,2,,2,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,"",2,"",1,1,1,1,0,1,1,1,1,1,"Types of probabilistic distributions e.g. normal, exponential, poisson, lognormal, hypergeometric, chi-square etc.   Design and Analysis of sample surveys  Bayesian statistics  Stochastic processes  Time series analysis  Multivariate methods  Demography and vital statistics (in this there are life tables)  Measure and probability",1,2
"36","","2014-04-29 12:19:26",8,"Developer",1,2,1,2,2,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,"",1,"",1,0,0,1,0,0,0,1,1,0,"",3,2
"37","","2014-04-29 13:03:19",1,"",1,4,2,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"excel",4,"",1,1,1,1,1,0,1,0,1,0,"",1,2
"38","","2014-04-29 13:05:01",4,"",3,4,2,,1,1,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,"",2,"",1,1,1,1,1,1,1,1,0,0,"",1,2
"39","","2014-04-29 15:35:48",7,"",1,2,1,1,2,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,"",1,"",1,1,1,1,1,1,0,1,0,0,"",1,2
"40","","2014-04-29 15:37:36",7,"",1,2,1,1,2,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,0,"",1,"",1,1,1,1,1,1,0,1,0,0,"",1,2
